origen_id,destino_id,tipo
n1214,n1213,contiene
n1214,n1207,contiene
n1213,n1212,contiene
n1213,n1211,contiene
n1213,n1210,contiene
n1210,n1209,contiene
n1207,n1206,contiene
n1207,n1205,contiene
n1207,n507,contiene
n1207,n1203,contiene
n1207,n1202,contiene
n1207,n1201,contiene
n1207,n498,contiene
n1207,n490,contiene
n1207,n1195,contiene
n1207,n486,contiene
n1207,n1193,contiene
n1192,n1166,contiene
n1192,n1161,contiene
n1190,n1189,contiene
n1190,n1188,contiene
n5,n1173,contiene
n5,n1172,contiene
n5,n1171,contiene
n5,n1170,contiene
n5,n1169,contiene
n5,n1168,contiene
n5,n1167,contiene
n1166,n1165,contiene
n1166,n1164,contiene
n1166,n1163,contiene
n1166,n1162,contiene
n1161,n1160,contiene
n1161,n1158,contiene
n1161,n1157,contiene
n1161,n1154,contiene
n1161,n1152,contiene
n1161,n1151,contiene
n1161,n1149,contiene
n1161,n1148,contiene
n1161,n1136,contiene
n1161,n1135,contiene
n1161,n1132,contiene
n1161,n1126,contiene
n1161,n410,contiene
n1161,n1119,contiene
n1161,n1118,contiene
n1161,n1117,contiene
n1161,n1116,contiene
n1161,n1114,contiene
n1161,n1113,contiene
n1161,n3,contiene
n379,n1105,contiene
n379,n389,contiene
n379,n1103,contiene
n379,n1102,contiene
n379,n1101,contiene
n1065,n1064,contiene
n864,n863,contiene
n864,n848,contiene
n864,n824,contiene
n864,n817,contiene
n864,n807,contiene
n863,n862,contiene
n863,n861,contiene
n863,n860,contiene
n863,n859,contiene
n863,n858,contiene
n863,n857,contiene
n863,n856,contiene
n863,n855,contiene
n863,n854,contiene
n863,n853,contiene
n863,n852,contiene
n863,n851,contiene
n863,n850,contiene
n863,n849,contiene
n848,n847,contiene
n848,n846,contiene
n848,n845,contiene
n848,n844,contiene
n848,n843,contiene
n848,n842,contiene
n848,n841,contiene
n848,n840,contiene
n848,n839,contiene
n848,n838,contiene
n848,n837,contiene
n848,n836,contiene
n848,n834,contiene
n848,n833,contiene
n848,n832,contiene
n848,n831,contiene
n848,n830,contiene
n848,n829,contiene
n848,n828,contiene
n848,n827,contiene
n848,n826,contiene
n848,n825,contiene
n824,n823,contiene
n824,n822,contiene
n824,n821,contiene
n824,n820,contiene
n824,n819,contiene
n824,n818,contiene
n818,n816,contiene
n817,n815,contiene
n817,n814,contiene
n817,n813,contiene
n817,n812,contiene
n817,n811,contiene
n817,n810,contiene
n817,n809,contiene
n817,n808,contiene
n807,n806,contiene
n807,n802,contiene
n807,n801,contiene
n807,n800,contiene
n807,n799,contiene
n807,n798,contiene
n807,n797,contiene
n807,n796,contiene
n734,n732,contiene
n734,n720,contiene
n734,n687,contiene
n734,n673,contiene
n732,n731,contiene
n732,n13,contiene
n732,n729,contiene
n732,n9,contiene
n720,n719,contiene
n720,n710,contiene
n720,n708,contiene
n720,n704,contiene
n720,n701,contiene
n720,n696,contiene
n720,n694,contiene
n720,n692,contiene
n687,n686,contiene
n687,n685,contiene
n673,n672,contiene
n673,n638,contiene
n673,n633,contiene
n673,n632,contiene
n626,n596,contiene
n626,n590,contiene
n624,n623,contiene
n624,n622,contiene
n624,n284,contiene
n624,n613,contiene
n624,n609,contiene
n624,n599,contiene
n596,n275,contiene
n590,n589,contiene
n590,n587,contiene
n590,n583,contiene
n590,n582,contiene
n581,n579,contiene
n581,n567,contiene
n579,n578,contiene
n567,n566,contiene
n567,n565,contiene
n567,n561,contiene
n567,n557,contiene
n1203,n507,referencia_cruzada
n1199,n1198,referencia_cruzada
n1199,n498,referencia_cruzada
n1198,n490,referencia_cruzada
n1196,n1195,referencia_cruzada
n1195,n490,referencia_cruzada
n486,n1193,referencia_cruzada
n1192,n476,contiene
n1192,n1186,contiene
n1186,n476,referencia_cruzada
n1192,n1185,contiene
n1185,n476,referencia_cruzada
n1192,n1184,contiene
n1192,n1183,contiene
n1183,n1182,referencia_cruzada
n1183,n1180,referencia_cruzada
n1183,n466,referencia_cruzada
n1183,n1179,referencia_cruzada
n1183,n1177,referencia_cruzada
n1183,n1178,referencia_cruzada
n1175,n469,referencia_cruzada
n1192,n469,contiene
n1192,n1175,contiene
n1171,n466,referencia_cruzada
n1163,n466,referencia_cruzada
n1163,n1180,referencia_cruzada
n1149,n4,referencia_cruzada
n457,n1146,contiene
n457,n1145,contiene
n457,n1144,contiene
n457,n444,contiene
n457,n1141,contiene
n457,n1140,contiene
n457,n1139,contiene
n1138,n1137,contiene
n1137,n1136,referencia_cruzada
n1136,n426,referencia_cruzada
n1136,n1133,referencia_cruzada
n1133,n426,referencia_cruzada
n1138,n1132,contiene
n1132,n414,referencia_cruzada
n1138,n1131,contiene
n1131,n414,referencia_cruzada
n1138,n414,contiene
n1138,n1129,contiene
n1138,n1128,contiene
n1128,n410,referencia_cruzada
n426,n1126,referencia_cruzada
n1126,n1125,referencia_cruzada
n410,n31,referencia_cruzada
n1126,n1119,referencia_cruzada
n426,n1118,referencia_cruzada
n426,n1117,referencia_cruzada
n426,n1116,referencia_cruzada
n426,n1115,referencia_cruzada
n426,n1114,referencia_cruzada
n426,n1113,referencia_cruzada
n426,n1109,referencia_cruzada
n426,n1112,referencia_cruzada
n426,n1110,referencia_cruzada
n1107,n1108,contiene
n379,n1100,referencia_cruzada
n1099,n389,contiene
n1101,n389,referencia_cruzada
n1105,n389,referencia_cruzada
n1098,n389,contiene
n1089,n1105,contiene
n1091,n389,contiene
n1090,n389,contiene
n1093,n1101,contiene
n354,n1101,contiene
n362,n389,contiene
n1096,n389,contiene
n1095,n389,contiene
n1094,n389,contiene
n1096,n362,referencia_cruzada
n1095,n362,referencia_cruzada
n1094,n362,referencia_cruzada
n1093,n1091,referencia_cruzada
n1093,n389,contiene
n1093,n354,referencia_cruzada
n1091,n354,referencia_cruzada
n1090,n354,referencia_cruzada
n349,n389,contiene
n1087,n389,contiene
n1087,n349,referencia_cruzada
n347,n389,contiene
n344,n389,contiene
n379,n324,referencia_cruzada
n379,n1083,referencia_cruzada
n1084,n1083,referencia_cruzada
n1084,n324,referencia_cruzada
n795,n794,contiene
n719,n718,referencia_cruzada
n718,n717,referencia_cruzada
n718,n716,referencia_cruzada
n718,n715,referencia_cruzada
n718,n714,referencia_cruzada
n718,n320,referencia_cruzada
n718,n712,referencia_cruzada
n718,n711,referencia_cruzada
n710,n709,referencia_cruzada
n708,n707,referencia_cruzada
n708,n706,referencia_cruzada
n706,n705,referencia_cruzada
n704,n703,referencia_cruzada
n704,n307,referencia_cruzada
n701,n700,referencia_cruzada
n701,n312,referencia_cruzada
n701,n698,referencia_cruzada
n698,n307,referencia_cruzada
n701,n697,referencia_cruzada
n696,n695,referencia_cruzada
n694,n693,referencia_cruzada
n305,n675,referencia_cruzada
n686,n684,referencia_cruzada
n686,n683,referencia_cruzada
n686,n682,referencia_cruzada
n686,n681,referencia_cruzada
n681,n680,referencia_cruzada
n686,n679,referencia_cruzada
n679,n678,referencia_cruzada
n686,n677,referencia_cruzada
n686,n305,referencia_cruzada
n675,n305,referencia_cruzada
n687,n674,contiene
n672,n671,referencia_cruzada
n671,n670,referencia_cruzada
n671,n669,referencia_cruzada
n669,n303,referencia_cruzada
n669,n667,referencia_cruzada
n672,n666,referencia_cruzada
n666,n295,referencia_cruzada
n295,n664,referencia_cruzada
n295,n663,referencia_cruzada
n666,n662,referencia_cruzada
n662,n295,referencia_cruzada
n672,n661,referencia_cruzada
n672,n660,referencia_cruzada
n660,n659,referencia_cruzada
n660,n658,referencia_cruzada
n672,n657,referencia_cruzada
n657,n656,referencia_cruzada
n657,n655,referencia_cruzada
n657,n654,referencia_cruzada
n654,n653,referencia_cruzada
n653,n652,referencia_cruzada
n652,n651,referencia_cruzada
n657,n650,referencia_cruzada
n672,n649,referencia_cruzada
n649,n292,referencia_cruzada
n292,n647,referencia_cruzada
n672,n646,referencia_cruzada
n646,n645,referencia_cruzada
n672,n644,referencia_cruzada
n644,n290,referencia_cruzada
n644,n642,referencia_cruzada
n644,n641,referencia_cruzada
n644,n640,referencia_cruzada
n644,n639,referencia_cruzada
n672,n637,referencia_cruzada
n672,n636,referencia_cruzada
n672,n635,referencia_cruzada
n672,n634,referencia_cruzada
n632,n287,referencia_cruzada
n287,n630,referencia_cruzada
n632,n285,referencia_cruzada
n632,n628,referencia_cruzada
n628,n627,referencia_cruzada
n626,n625,contiene
n624,n625,contiene
n622,n621,referencia_cruzada
n622,n620,referencia_cruzada
n622,n619,referencia_cruzada
n622,n618,referencia_cruzada
n622,n617,referencia_cruzada
n622,n616,referencia_cruzada
n622,n615,referencia_cruzada
n613,n612,referencia_cruzada
n613,n611,referencia_cruzada
n611,n610,referencia_cruzada
n609,n608,referencia_cruzada
n608,n607,referencia_cruzada
n608,n606,referencia_cruzada
n608,n605,referencia_cruzada
n608,n604,referencia_cruzada
n608,n603,referencia_cruzada
n608,n602,referencia_cruzada
n602,n31,referencia_cruzada
n609,n279,referencia_cruzada
n609,n600,referencia_cruzada
n599,n598,referencia_cruzada
n599,n597,referencia_cruzada
n275,n594,referencia_cruzada
n275,n270,referencia_cruzada
n275,n592,referencia_cruzada
n275,n591,referencia_cruzada
n589,n588,referencia_cruzada
n588,n585,referencia_cruzada
n588,n587,referencia_cruzada
n588,n586,referencia_cruzada
n588,n584,referencia_cruzada
n581,n580,contiene
n579,n580,contiene
n580,n577,referencia_cruzada
n577,n576,referencia_cruzada
n580,n575,referencia_cruzada
n580,n574,referencia_cruzada
n574,n573,referencia_cruzada
n574,n268,referencia_cruzada
n268,n571,referencia_cruzada
n571,n265,referencia_cruzada
n265,n569,referencia_cruzada
n569,n568,referencia_cruzada
n565,n564,referencia_cruzada
n565,n259,referencia_cruzada
n565,n562,referencia_cruzada
n561,n560,referencia_cruzada
n561,n559,referencia_cruzada
n561,n558,referencia_cruzada
n557,n556,referencia_cruzada
n557,n555,referencia_cruzada
n557,n554,referencia_cruzada
n557,n553,referencia_cruzada
n1062,n1061,referencia_cruzada
n1062,n240,referencia_cruzada
n240,n238,referencia_cruzada
n240,n1058,referencia_cruzada
n240,n1057,referencia_cruzada
n1057,n1056,referencia_cruzada
n1061,n233,referencia_cruzada
n1057,n219,referencia_cruzada
n219,n1053,referencia_cruzada
n1057,n200,referencia_cruzada
n233,n1051,referencia_cruzada
n1051,n1050,referencia_cruzada
n1051,n200,referencia_cruzada
n1051,n1049,referencia_cruzada
n1049,n1048,referencia_cruzada
n1049,n200,referencia_cruzada
n233,n1046,referencia_cruzada
n1046,n196,referencia_cruzada
n1046,n1044,referencia_cruzada
n1044,n196,referencia_cruzada
n1051,n1043,referencia_cruzada
n1051,n1042,referencia_cruzada
n1051,n1041,referencia_cruzada
n1051,n1039,referencia_cruzada
n3,n194,referencia_cruzada
n3,n1036,referencia_cruzada
n3,n188,referencia_cruzada
n188,n1032,referencia_cruzada
n3,n184,referencia_cruzada
n183,n1033,contiene
n183,n1030,referencia_cruzada
n183,n142,referencia_cruzada
n183,n168,referencia_cruzada
n168,n1028,referencia_cruzada
n142,n1026,referencia_cruzada
n168,n1026,referencia_cruzada
n1026,n142,referencia_cruzada
n142,n137,referencia_cruzada
n142,n1024,referencia_cruzada
n142,n1023,referencia_cruzada
n1023,n1021,referencia_cruzada
n1023,n1020,referencia_cruzada
n1023,n124,referencia_cruzada
n1023,n1019,referencia_cruzada
n1018,n1033,contiene
n1018,n1016,referencia_cruzada
n1017,n168,referencia_cruzada
n1016,n168,referencia_cruzada
n1018,n121,referencia_cruzada
n1018,n1013,referencia_cruzada
n1018,n1012,referencia_cruzada
n1018,n1011,referencia_cruzada
n1018,n1010,referencia_cruzada
n1018,n1009,referencia_cruzada
n1018,n1008,referencia_cruzada
n1018,n1007,referencia_cruzada
n1018,n1006,referencia_cruzada
n121,n1005,referencia_cruzada
n1018,n1004,referencia_cruzada
n1004,n1002,referencia_cruzada
n1004,n1003,referencia_cruzada
n1004,n1001,referencia_cruzada
n1018,n1000,referencia_cruzada
n1000,n999,referencia_cruzada
n1000,n998,referencia_cruzada
n1000,n997,referencia_cruzada
n1018,n996,referencia_cruzada
n1018,n994,referencia_cruzada
n993,n1033,contiene
n992,n1033,contiene
n992,n991,referencia_cruzada
n991,n990,referencia_cruzada
n990,n989,referencia_cruzada
n992,n988,referencia_cruzada
n984,n1033,contiene
n981,n104,referencia_cruzada
n981,n97,referencia_cruzada
n97,n104,referencia_cruzada
n978,n977,referencia_cruzada
n978,n90,referencia_cruzada
n977,n974,referencia_cruzada
n977,n975,referencia_cruzada
n977,n85,referencia_cruzada
n978,n972,referencia_cruzada
n970,n969,referencia_cruzada
n970,n968,referencia_cruzada
n970,n967,referencia_cruzada
n966,n965,referencia_cruzada
n966,n964,referencia_cruzada
n978,n963,referencia_cruzada
n972,n971,referencia_cruzada
n971,n970,referencia_cruzada
n971,n966,referencia_cruzada
n972,n962,referencia_cruzada
n961,n960,contiene
n961,n959,contiene
n959,n77,referencia_cruzada
n959,n957,referencia_cruzada
n957,n77,referencia_cruzada
n957,n956,referencia_cruzada
n957,n955,referencia_cruzada
n957,n75,referencia_cruzada
n960,n952,referencia_cruzada
n960,n953,referencia_cruzada
n943,n70,referencia_cruzada
n943,n66,referencia_cruzada
n943,n50,referencia_cruzada
n943,n45,referencia_cruzada
n943,n937,referencia_cruzada
n943,n938,referencia_cruzada
n937,n936,referencia_cruzada
n943,n41,referencia_cruzada
n943,n934,referencia_cruzada
n933,n932,referencia_cruzada
n932,n931,referencia_cruzada
n931,n930,referencia_cruzada
n931,n37,referencia_cruzada
n37,n928,referencia_cruzada
n933,n927,referencia_cruzada
n931,n926,referencia_cruzada
n933,n925,referencia_cruzada
n931,n924,referencia_cruzada
n931,n923,referencia_cruzada
n931,n922,referencia_cruzada
n931,n921,referencia_cruzada
n919,n920,contiene
n918,n920,contiene
n917,n920,contiene
n917,n33,referencia_cruzada
n916,n920,contiene
n915,n920,contiene
n917,n913,referencia_cruzada
n917,n912,referencia_cruzada
n917,n911,referencia_cruzada
n917,n910,referencia_cruzada
n907,n906,referencia_cruzada
n889,n887,referencia_cruzada
n887,n31,referencia_cruzada
n887,n886,referencia_cruzada
n886,n29,referencia_cruzada
n1210,n1208,referencia_cruzada
n1199,n1196,referencia_cruzada
n1081,n1103,contiene
n1079,n1103,contiene
n24,n1103,contiene
n1107,n379,referencia_cruzada
n1077,n1108,contiene
n1077,n1076,referencia_cruzada
n1077,n1075,referencia_cruzada
n1077,n1074,referencia_cruzada
n1077,n1073,referencia_cruzada
n1077,n1072,referencia_cruzada
n1077,n1071,referencia_cruzada
n1077,n1067,referencia_cruzada
n1077,n1068,referencia_cruzada
n1077,n1069,referencia_cruzada
n1063,n1064,contiene
n1062,n1064,contiene
n983,n982,contiene
n981,n982,contiene
n978,n1209,contiene
n18,n950,contiene
n18,n949,contiene
n18,n948,contiene
n18,n947,contiene
n18,n20,contiene
n18,n945,contiene
n20,n945,referencia_cruzada
n18,n943,contiene
n18,n933,contiene
n17,n920,contiene
n917,n914,referencia_cruzada
n917,n803,referencia_cruzada
n917,n909,referencia_cruzada
n917,n907,referencia_cruzada
n917,n908,referencia_cruzada
n803,n899,referencia_cruzada
n803,n895,referencia_cruzada
n803,n904,referencia_cruzada
n803,n902,referencia_cruzada
n803,n903,referencia_cruzada
n803,n891,referencia_cruzada
n803,n905,referencia_cruzada
n17,n889,contiene
n17,n888,contiene
n29,n883,referencia_cruzada
n17,n882,contiene
n882,n880,referencia_cruzada
n880,n879,referencia_cruzada
n17,n878,contiene
n17,n877,contiene
n17,n876,contiene
n876,n875,referencia_cruzada
n876,n874,referencia_cruzada
n17,n873,contiene
n873,n872,referencia_cruzada
n873,n871,referencia_cruzada
n873,n870,referencia_cruzada
n17,n869,contiene
n869,n868,referencia_cruzada
n17,n867,contiene
n867,n866,referencia_cruzada
n866,n865,referencia_cruzada
n806,n805,referencia_cruzada
n805,n804,referencia_cruzada
n794,n793,referencia_cruzada
n793,n792,referencia_cruzada
n794,n791,referencia_cruzada
n794,n790,referencia_cruzada
n794,n789,referencia_cruzada
n794,n788,referencia_cruzada
n794,n787,referencia_cruzada
n794,n786,referencia_cruzada
n785,n784,contiene
n785,n783,contiene
n785,n782,contiene
n782,n780,referencia_cruzada
n780,n779,referencia_cruzada
n782,n778,referencia_cruzada
n778,n777,referencia_cruzada
n782,n776,referencia_cruzada
n776,n775,referencia_cruzada
n782,n774,referencia_cruzada
n782,n766,referencia_cruzada
n774,n773,referencia_cruzada
n782,n772,referencia_cruzada
n782,n771,referencia_cruzada
n771,n770,referencia_cruzada
n785,n769,contiene
n769,n776,referencia_cruzada
n769,n774,referencia_cruzada
n769,n778,referencia_cruzada
n769,n780,referencia_cruzada
n769,n772,referencia_cruzada
n769,n771,referencia_cruzada
n785,n768,contiene
n768,n15,referencia_cruzada
n782,n764,referencia_cruzada
n764,n763,referencia_cruzada
n762,n761,contiene
n761,n760,referencia_cruzada
n760,n759,referencia_cruzada
n760,n758,referencia_cruzada
n758,n757,referencia_cruzada
n760,n756,referencia_cruzada
n757,n755,referencia_cruzada
n760,n754,referencia_cruzada
n754,n753,referencia_cruzada
n752,n751,contiene
n751,n750,referencia_cruzada
n751,n749,referencia_cruzada
n751,n748,referencia_cruzada
n748,n747,referencia_cruzada
n748,n746,referencia_cruzada
n745,n744,contiene
n744,n743,referencia_cruzada
n745,n742,contiene
n745,n741,contiene
n745,n740,contiene
n745,n739,contiene
n745,n738,contiene
n745,n737,contiene
n745,n736,contiene
n736,n735,referencia_cruzada
n732,n733,contiene
n13,n728,referencia_cruzada
n728,n727,referencia_cruzada
n728,n726,referencia_cruzada
n728,n724,referencia_cruzada
n728,n723,referencia_cruzada
n728,n722,referencia_cruzada
n728,n721,referencia_cruzada
n692,n691,referencia_cruzada
n691,n690,referencia_cruzada
n692,n688,referencia_cruzada
n690,n689,referencia_cruzada
n0,n551,referencia_cruzada
n0,n550,referencia_cruzada
n0,n549,referencia_cruzada
n0,n548,referencia_cruzada
n0,n547,referencia_cruzada
n0,n545,referencia_cruzada
n0,n544,referencia_cruzada
n0,n543,referencia_cruzada
n0,n542,referencia_cruzada
n1214,n9,contiene
n9,n0,referencia_cruzada
n1214,n7,referencia_cruzada
n7,n1196,contiene
n1192,n6,contiene
n1214,n1192,referencia_cruzada
n7,n1199,contiene
n7,n1198,contiene
n1153,n1152,contiene
n5,n6,contiene
n5,n1190,contiene
n1192,n5,contiene
n1153,n4,contiene
n1153,n457,referencia_cruzada
n1214,n457,referencia_cruzada
n1214,n1138,referencia_cruzada
n1138,n1108,contiene
n1138,n1064,contiene
n1138,n3,contiene
n1138,n1033,contiene
n1214,n983,referencia_cruzada
n1161,n1155,contiene
n1161,n1156,contiene
n1161,n1159,contiene
n1151,n1147,referencia_cruzada
n410,n1122,referencia_cruzada
n1122,n1121,referencia_cruzada
n1119,n1120,referencia_cruzada
n1112,n1111,referencia_cruzada
n1161,n23,contiene
n1077,n1066,referencia_cruzada
n1077,n1070,referencia_cruzada
n1080,n1103,contiene
n886,n885,referencia_cruzada
n803,n894,referencia_cruzada
n917,n881,referencia_cruzada
n803,n901,referencia_cruzada
n898,n920,contiene
n892,n920,contiene
n890,n920,contiene
n893,n920,contiene
n1126,n31,referencia_cruzada
n986,n1033,contiene
n987,n1033,contiene
n986,n985,referencia_cruzada
n1161,n1127,contiene
n943,n944,referencia_cruzada
n896,n920,contiene
n900,n920,contiene
n897,n920,contiene
n0,n546,referencia_cruzada
n1018,n1015,referencia_cruzada
n848,n835,contiene
n782,n767,referencia_cruzada
n785,n765,contiene
n1018,n995,referencia_cruzada
n219,n1052,referencia_cruzada
n961,n0,contiene
n18,n0,contiene
n17,n0,contiene
n864,n0,contiene
n795,n0,contiene
n785,n0,contiene
n762,n0,contiene
n752,n0,contiene
n745,n0,contiene
n626,n0,contiene
n734,n0,contiene
n581,n0,contiene
n17,n887,contiene
n1161,n1109,contiene
n1018,n1017,referencia_cruzada
n626,n624,contiene
n1214,n1153,referencia_cruzada
